Sr.No.,Item Code & Description,Unit,Qty,Basic Rate,Amount
1,HSS Drill Bit 12.70mm,Nos.,10,595.00,5950.00
2,HSS Drill Bit 10.50mm,Nos.,10,415.00,4150.00
3,HSS Drill Bit 8.50mm,Nos.,10,290.00,2900.00
4,HSS Drill Bit 6.00mm,Nos.,10,130.00,1300.00
5,Allen Key,Nos.,5,246.00,1230.00
6,Taparia Screw Driver 9031,Nos.,3,120.00,360.00
7,Taparia Screw Driver 828,Nos.,2,160.00,320.00
8,Taparia Screw Driver 905,Nos.,5,110.00,550.00
9,Wire Stripper,Nos.,5,70.00,350.00
10,Taparia plier,Nos.,2,303.00,606.00
11,Taparia Adjustable Spanner 12inch,Nos.,2,580.00,1160.00
12,Silicon Gun,Nos.,5,250.00,1250.00
13,Fix Spanner 6x7 to 30x32 Model No.DEP12,Nos.,2,975.00,1950.00
14,Ring Spanner 6x7 to 30x32 Model No.1812,Nos.,2,2067.00,4134.00
15,Comination Spanner 34,Nos.,2,869.00,1738.00
16,Comination Spanner 38,Nos.,2,1203.00,2406.00
17,Rachet Spanner Handle 1" model no3715,Nos.,1,9307.00,9307.00
18,Rachet Spanner Handle 1/2",Nos.,10,923.00,9230.00
19,Taparia Knife UK-3,Nos.,10,268.00,2680.00
20,Taparia Knife SKE18,Nos.,5,54.00,270.00
21,Taparia Knife Blade UB10,Nos.,3,146.00,438.00
22,Normal Kinfe Blade,Nos.,2,90.00,180.00
23,File 12inch,Nos.,2,380.00,760.00
24,Cordless Impect Ingco,Nos.,1,8200.00,8200.00
25,Grinder 4inch,Nos.,1,2550.00,2550.00
26,Cutting Wheel 4inch,Nos.,25,25.00,625.00
27,Cotton Waste,Kgs,50,60.00,3000.00
,,,,,
Round Off,,,,,0.00
Total Net Amount,,,,,67594.00
